t,pressure
0,98094.40000000001
0.001,89842.08
0.002,100000.0
0.003,93572.0
0.004,96708.32
0.005,98501.12
0.006,97206.72
0.007,98162.72
0.008,97036.48
0.009000000000000001,91456.32
0.01,93875.36
0.011,92701.44
0.012,95876.48
0.013000000000000001,96752.8
0.014,95941.76
0.015,93120.96
0.016,94084.32
0.017,95426.56
0.018000000000000002,94760.16
0.019,92137.92
0.02,95913.76
0.021,92613.76
0.022,94496.96
0.023,94228.64
0.024,98870.24
0.025,95155.52
0.026000000000000002,93874.56
0.027,91693.6
0.028,93218.24
0.029,95665.44
0.03,94329.28
0.031,93526.56
0.032,97120.64
0.033,93806.56
0.034,99001.76000000001
0.035,93205.76
0.036000000000000004,94309.6
0.037,95438.08
0.038,99941.6
0.039,100000.0
0.04,94974.72
0.041,99722.88
0.042,94856.64
0.043000000000000003,96536.96
0.044,95264.8
0.045,94836.64
0.046,91041.6
0.047,93490.24
0.048,94372.48
0.049,96290.24
0.05,92494.08
0.051000000000000004,95310.08
0.052000000000000005,97288.64
0.053,97957.6
0.054,95039.84
0.055,98447.36
0.056,98465.92
0.057,96757.12
0.058,94442.40000000001
0.059000000000000004,93097.6
0.06,91458.72
0.061,96095.36
0.062,95989.28
0.063,90089.12
0.064,89325.6
0.065,94529.44
0.066,93210.56
0.067,95236.96
0.068,97750.88
0.069,91643.2
0.07,95590.56
0.07100000000000001,95773.12
0.07200000000000001,92394.40000000001
0.073,92953.28
0.074,94304.48
0.075,95172.16
0.076,93628.96
0.077,95538.08
0.078,97386.08
0.079,98519.04000000001
0.08,93746.08
0.081,97420.16
0.082,98419.2
0.083,97813.92
0.084,98298.88
0.085,92732.48
0.08600000000000001,96570.56
0.08700000000000001,92337.76
0.088,95212.64
0.089,92964.0
0.09,89605.76
0.091,94769.92
0.092,95627.36
0.093,91276.64
0.094,94383.36
0.095,95368.96
0.096,96247.2
0.097,94630.56
0.098,91706.72
0.099,94748.48
0.1,97236.96
0.101,98577.76000000001
0.10200000000000001,89353.28
0.10300000000000001,93651.04000000001
0.10400000000000001,94124.32
0.105,97518.08
0.106,91738.40000000001
0.107,92775.52
0.108,93341.12
0.109,95997.28
0.11,97454.08
0.111,97291.84
0.112,93366.56
0.113,97827.2
0.114,99457.44
0.115,95869.12
0.116,90825.6
0.117,98460.96
0.11800000000000001,90764.64
0.11900000000000001,93681.76
0.12,93517.28
0.121,95542.72
0.122,95182.40000000001
0.123,96468.0
0.124,94147.36
0.125,95274.72
0.126,93830.40000000001
0.127,93073.12
0.128,92904.48
0.129,97316.96
0.13,97168.48
0.131,93248.48
0.132,97853.12
0.133,95628.16
0.134,93883.2
0.135,93913.92
0.136,97794.24
0.137,97931.52
0.138,94945.44
0.139,94276.64
0.14,99861.92
0.14100000000000001,97880.64
0.14200000000000002,96265.76
0.14300000000000002,96165.12
0.14400000000000002,95984.16
0.145,90895.04000000001
0.146,97285.92
0.147,99248.16
0.148,92055.2
0.149,93558.24
0.15,96721.92
0.151,94732.48
0.152,98962.72
0.153,93752.16
0.154,92249.92
0.155,93410.40000000001
0.156,92436.0
0.157,95669.6
0.158,96207.52
0.159,93384.48
0.16,94754.40000000001
0.161,92301.28
0.162,99286.56
0.163,89456.96
0.164,93266.40000000001
0.165,95144.48
0.166,93347.2
0.167,93013.92
0.168,92437.92
0.169,97476.32
0.17,96423.2
0.171,92935.68000000001
0.17200000000000001,92275.84
0.17300000000000001,95755.2
0.17400000000000002,92130.24
0.17500000000000002,96060.32
0.176,97878.40000000001
0.177,94389.44
0.178,97855.2
0.179,93729.6
0.18,97424.96
0.181,94436.48
0.182,90473.28
